"","year","series","episode","rating","votes"
"383",1991,"The Next Generation","In Theory",7.2,2221
"384",1991,"The Next Generation","A Matter Of Time",7.3,2220
"385",1992,"The Next Generation","New Ground",6.5,2038
"386",1992,"The Next Generation","Violations",6.3,2032
"387",1992,"The Next Generation","Cause And Effect",9,3357
"388",1992,"The Next Generation","The Perfect Mate",7.4,2382
"389",1992,"The Next Generation","Man Of The People",5.7,2023
"390",1992,"The Next Generation","Relics",8.6,2778
"391",1992,"The Next Generation","True Q",7.5,2249
"392",1992,"The Next Generation","Rascals",7.4,2313
"393",1993,"The Next Generation","Ship In A Bottle",8.6,2591
"394",1993,"The Next Generation","Birthright, Part I",7.7,2103
"395",1993,"The Next Generation","Birthright, Part II",7.4,2086
"396",1993,"The Next Generation","The Chase",8.1,2390
"397",1993,"The Next Generation","Suspicions",7.1,1980
"398",1993,"The Next Generation","Rightful Heir",7.3,1919
"399",1993,"The Next Generation","Second Chances",7.6,2075
"400",1993,"The Next Generation","Interface",6.3,1885
"401",1993,"The Next Generation","Dark Page",6.4,2063
"402",1993,"The Next Generation","Attached",7.5,2038
"403",1994,"The Next Generation","Homeward",7.1,1946
"404",1994,"The Next Generation","Masks",6,2131
"405",1994,"The Next Generation","Eye of the Beholder",6.7,1906
"406",1994,"The Next Generation","Firstborn",6.9,1832
"407",1994,"The Next Generation","Bloodlines",6.6,1788
"408",1993,"Deep Space Nine","Captive Pursuit",7.7,1841
"409",1993,"Deep Space Nine","Q-Less",6.9,1775
"410",1993,"Deep Space Nine","Vortex",7.1,1614
"411",1993,"Deep Space Nine","Battle Lines",6.7,1606
"412",1993,"Deep Space Nine","The Storyteller",6.1,1627
"413",1993,"Deep Space Nine","Progress",6.9,1611
"414",1993,"Deep Space Nine","If Wishes Were Horses",6.5,1584
"415",1993,"Deep Space Nine","Dramatis Personae",7.1,1541
"416",1993,"Deep Space Nine","Invasive Procedures",6.9,1538
"417",1993,"Deep Space Nine","Melora",6.5,1560
"418",1993,"Deep Space Nine","Rules Of Aquisition",7.5,1580
"419",1993,"Deep Space Nine","Sanctuary",6.5,1507
"420",1994,"Deep Space Nine","Armageddon Game",7.5,1508
"421",1994,"Deep Space Nine","Paradise",6.7,1601
"422",1994,"Deep Space Nine","Shadowplay",7.4,1516
"423",1994,"Deep Space Nine","Playing God",6.5,1424
"424",1994,"Deep Space Nine","Crossover",8,1589
"425",1994,"Deep Space Nine","Tribunal",7.6,1450
"426",1994,"Deep Space Nine","The Abandoned",7,1401
"427",1994,"Deep Space Nine","Civil Defense",8,1577
"428",1995,"Deep Space Nine","Distant Voices",6.6,1406
"429",1995,"Deep Space Nine","Explorers",7.4,1468
"430",1995,"Deep Space Nine","Family Business",7.3,1401
"431",1995,"Deep Space Nine","Shakaar",7,1332
"432",1995,"Deep Space Nine","Hippocratic Oath",7.8,1497
"433",1995,"Deep Space Nine","Starship Down",7.8,1457
"434",1995,"Deep Space Nine","Little Green Men",8.6,1844
"435",1995,"Deep Space Nine","The Sword Of Kahless",7.1,1412
"436",1996,"Deep Space Nine","Sons Of Mogh",7.4,1370
"437",1996,"Deep Space Nine","Accession",7.2,1330
"438",1996,"Deep Space Nine","Shattered Mirror",7.3,1341
"439",1996,"Deep Space Nine","To The Death",8.2,1448
"440",1996,"Deep Space Nine","The Ship",8,1501
"441",1997,"Deep Space Nine","A Simple Investigation",6.7,1311
"442",1997,"Deep Space Nine","Soldiers Of The Empire",7.8,1348
"443",1997,"Deep Space Nine","Empok Nor",7.9,1375
"444",1998,"Deep Space Nine","One Little Ship",7.8,1417
"445",1998,"Deep Space Nine","His Way",7.6,1498
"446",1998,"Deep Space Nine","Valiant",7.1,1389
"447",1998,"Deep Space Nine","Time's Orphan",6.3,1348
"448",1998,"Deep Space Nine","Afterimage",7.3,1281
"449",1998,"Deep Space Nine","Take Me Out To The Holosuite",7.6,1544
"450",1998,"Deep Space Nine","Once More Unto The Breach",7.7,1313
"451",1998,"Deep Space Nine","Covenant",6.8,1259
"452",1999,"Deep Space Nine","Prodigal Daughter",6.4,1227
"453",1999,"Deep Space Nine","'Til Death Do Us Part",7.6,1176
"454",1995,"Voyager","Caretaker",7.6,3345
"455",1995,"Voyager","Parallax",7.3,1694
"456",1995,"Voyager","Time And Again",7.2,1654
"457",1995,"Voyager","Phage",7.2,1584
"458",1995,"Voyager","Ex Post Facto",6.7,1513
"459",1995,"Voyager","Emanations",6.8,1503
"460",1995,"Voyager","Faces",7.3,1483
"461",1995,"Voyager","Learning Curve",7.2,1411
"462",1995,"Voyager","The 37's",7.4,1653
"463",1995,"Voyager","Projections",8,1590
"464",1995,"Voyager","Parturition",6.5,1337
